Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
45,35,62,19,MareNostrum 5 GPP,"ThinkSystem SD650 v3, Xeon Platinum 03H-LC 56C 1.7GHz, Infiniband NDR200",EuroHPC/BSC,Lenovo,Spain,2023,Research,"725,760",,"40,101.80","46,371.23","13,188,096",,484.36,"5,752.90",Submitted,6.97,,Cluster,Xeon Platinum 8480+ 56C 2GHz,Intel Sapphire Rapids,"2,000",RedHat 9.1,Linux,None,56,Xeon Platinum (Sapphire Rapids),ThinkSystem SD650 v3,Lenovo ThinkSystem,Infiniband,Infiniband NDR200,Europe,"50,979",180237
46,36,63,31,TSUBAME4.0,"HPE Cray XD665, AMD EPYC 9654 96C 3.55GHz, Nvidia H100 SXM5 94Gb, Infiniband NDR200, Redhat Linux","CII, Institute of Science Tokyo",HPE,Japan,2024,Academic,"172,800","126,720","39,620.00","61,601.22","3,239,936",,353.06,815.82,Submitted,48.56,,Cluster,AMD EPYC 9654 96C 3.55GHz,AMD Zen-4 (Genoa),"3,550",Redhat Linux,Linux,Nvidia H100 SXM5 94Gb,96,AMD Zen-4 (Genoa),HPE Cray XD665,HPE Cray XD,Infiniband,Infiniband NDR200,Asia,"47,912",180268
47,38,62,20,Shaheen III - CPU,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",King Abdullah University of Science and Technology,HPE,Saudi Arabia,2023,Academic,"877,824",,"35,658.30","39,607.42","10,898,196",,651.46,"5,301.00",Submitted,6.73,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),"2,400",HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Asia,"50,205",180179
48,39,55,6,HPC5,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",Eni S.p.A.,DELL,Italy,2020,Industry,"669,760","582,400","35,450.00","51,720.76","5,750,784",,860.32,"2,252.17",Submitted,15.74,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,"2,100",CentOS Linux 7,Linux,NVIDIA Tesla V100,24,Xeon Gold 62xx (Cascade Lake),PowerEdge C4140,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Europe,"50,489",179856
49,,65,49,SAKURAONE,"Supermicro SuperServer, Xeon Platinum 8580 60C 2GHz, 800G Ethernet, NVIDIA H100 SXM5 80GB, Rocky Linux 9.4",SAKURA Internet Inc. / Prunus Solutions Inc.,Supermicro,Japan,2024,Industry,"115,248","103,488","33,950.00","47,792.64","2,706,432",,396.30,,,,,Cluster,Xeon Platinum 8580 60C 2GHz,Intel Emerald Rapids,"2,000",Rocky Linux 9.4,Linux,NVIDIA H100 SXM5 80GB,60,Xeon Platinum 85xx,Supermicro SuperServer,Supermicro SuperServer,Gigabit Ethernet,800G Ethernet,Asia,"50,809",180383
50,40,62,22,Sejong,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",NAVER Corp,Nvidia,South Korea,2023,Industry,"277,760","241,920","32,970.00","40,772.48","4,532,736",,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.2 LTS,Linux,NVIDIA A100,64,AMD Zen-2 (Rome),NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,Asia,"50,983",180222
51,79,64,79,Helma,"ThinkSystem SD665-N V3, AMD EPYC 9554 64C 3.1GHz, NVIDIA H200 SXM5 141 GB, Infiniband NDR200, AlmaLinux 9.5",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2024,Academic,"125,952","101,376","32,220.00","51,028.87","2,856,960",,,651.13,Submitted,49.48,,Cluster,AMD EPYC 9554 64C 3.1GHz,AMD Zen-4 (Genoa),"3,100",AlmaLinux 9.5,Linux,NVIDIA H200 SXM5 141 GB,64,AMD Zen-4 (Genoa),ThinkSystem SD665-N V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR200,Europe,"49,515",180303
52,41,63,44,kakaocloud,"Supermicro AS-4124GO-NART, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB, Infiniband HDR200, Ubuntu 22.04.3 LTS",Kakao Enterprise,Supermicro,South Korea,2024,Industry,"253,952","221,184","32,000.00","37,382.55","4,448,731",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Ubuntu 22.04.3 LTS,Linux,NVIDIA A100 80GB,64,AMD Zen-3 (Milan),Supermicro AS-4124GO-NART,Supermicro Cluster,Infiniband,Infiniband HDR200,Asia,"51,009",180291
53,50,64,50,MUSICA Phase 1,"ThinkSystem SD665-N V3, AMD EPYC 9654 96C 2.4GHz, Nvidia H100 SXM5 94Gb, Infiniband NDR200, RHEL",MUSICA,Lenovo,Austria,2024,Academic,"161,280","101,376","31,840.00","53,756.31","2,923,520",,,,,,,Cluster,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),"2,400",RHEL,Linux,Nvidia H100 SXM5 94Gb,96,AMD Zen-4 (Genoa),ThinkSystem SD665-N V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR200,Europe,"51,054",180310
54,,65,54,Hunter,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, RHEL 9",HLRS - Höchstleistungsrechenzentrum Stuttgart,HPE,Germany,2024,Research,"181,440","164,160","31,680.00","45,137.66","3,146,426",,351.14,490.00,Submitted,64.65,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),"1,800",RHEL 9,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"50,543",180391
55,,65,55,Viper-GPU,"BullSequana XH3000, AMD Instinct MI300A 24C 1.8GHz, AMD Instinct MI300A, Infiniband NDR200, RedHat Enterprise Linux",Max-Planck-Gesellschaft MPI/IPP,EVIDEN,Germany,2025,Research,"151,200","136,800","31,096.00","44,164.80","2,928,000",,,499.98,Submitted,62.19,,Cluster,AMD Instinct MI300A 24C 1.8GHz,AMD Instinct,"1,800",RedHat Enterprise Linux,Linux,AMD Instinct MI300A,24,AMD Instinct MI300A,BullSequana XH3000,EVIDEN BullSequana,Infiniband,Infiniband NDR200,Europe,"48,331",180358
56,42,58,10,Voyager-EUS2,"ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband",Microsoft Azure,Microsoft Azure,United States,2021,Vendor,"253,440","228,096","30,050.00","39,531.15","4,669,056",,,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),"2,450",Ubuntu 18.04 LTS,Linux,NVIDIA Tesla A100 80G,48,AMD Zen-2 (Rome),ND96amsr_A100_v4,Microsoft Azure Cluster,Infiniband,Mellanox HDR Infiniband,North America,"50,897",180024
57,43,62,24,Crossroads,"HPE Cray EX, Xeon CPU Max 9480 56C 1.9GHz, Slingshot-11",DOE/NNSA/LANL/SNL,HPE,United States,2023,Research,"660,800",,"30,034.70","40,176.64","8,771,328",,967.31,"6,283.91",Submitted,4.78,,MPP,Xeon CPU Max 9480 56C 1.9GHz,Intel Sapphire Rapids,"1,900",HPE Cray OS,Linux,None,56,Intel Xeon Max,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"50,334",180178
58,44,64,44,PITAGORA,"ThinkSystem SD650-N V3, Xeon Gold 6548Y+ 32C 2.5GHz, NVIDIA H100, Infiniband NDR, Linux",CINECA,Lenovo,Italy,2024,Academic,"99,456","88,704","27,900.00","36,966.05","2,765,824",,,,,,,Cluster,Xeon Gold 6548Y+ 32C 2.5GHz,Intel Emerald Rapids,"2,500",Linux,Linux,NVIDIA H100,32,Xeon Gold 65xx (Emerald Rapids),ThinkSystem SD650-N V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR,Europe,"47,495",180348
59,45,60,15,Setonix – GPU,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11","Pawsey Supercomputing Centre, Kensington, Western Australia",HPE,Australia,2022,Research,"181,248","168,960","27,160.00","34,996.22","3,538,944",,311.91,476.63,Submitted,56.98,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Oceania,"50,488",180123
60,46,60,16,Discovery 5,"HPE Cray EX235n, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",ExxonMobil,HPE,United States,2022,Industry,"232,000","216,000","26,130.00","30,990.80","3,136,100",,,964.00,Submitted,27.11,,MPP,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),"2,800",HPE Cray OS,Linux,NVIDIA A100 SXM4 40 GB,32,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"50,949",180131
61,47,58,12,Polaris,"Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",DOE/SC/Argonne National Laboratory,HPE,United States,2021,Research,"256,592","238,896","25,810.00","34,163.19","3,397,536",,,,,,,Cluster,AMD EPYC 7532 32C 2.4GHz,AMD Zen-2 (Rome),"2,400",SLES15 SP2,Linux,NVIDIA A100 SXM4 40 GB,32,AMD Zen-2 (Rome),Apollo 6500,HPE Apollo,Gigabit Ethernet,Slingshot-10,North America,"47,347",180016
62,48,58,11,SSC-21,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",Samsung Electronics,HPE,South Korea,2021,Industry,"204,160","190,080","25,177.00","31,751.10","4,130,000",,,,,,,Cluster,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),"2,800",RHEL 8.3,Linux,NVIDIA Tesla A100 80G,32,AMD Zen-3 (Milan),Apollo 6500 Gen10 plus,HPE Apollo,Infiniband,Infiniband HDR200,Asia,"50,903",180041
63,,65,63,Mary Coombs,"ThinkSystem SD650-N V3, Xeon Gold 6448Y 32C 2.1GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR200, RHEL",Science and Technology Facilities Council,Lenovo,United Kingdom,2025,Research,"99,456","88,704","24,410.00","31,181.00","2,551,808",,,,,,,Cluster,Xeon Gold 6448Y 32C 2.1GHz,Intel Sapphire Rapids,"2,100",RHEL,Linux,NVIDIA H100 SXM5 80GB,32,Xeon Gold (Sapphire Rapids),ThinkSystem SD650-N V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR200,Europe,"50,732",180369
64,49,63,47,rzAdams,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, TOSS",DOE/NNSA/LLNL,HPE,United States,2024,Research,"129,024","116,736","24,380.00","32,097.89","2,764,800",,,388.20,Submitted,62.80,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),"1,800",TOSS,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"49,763",180284
65,,65,65,Portage,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, RHEL 8.9",Hewlett Packard Enterprise,HPE,United States,2024,Vendor,"129,024","116,736","24,100.00","32,097.89","2,768,896",,,371.48,Submitted,64.88,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),"1,800",RHEL 8.9,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"51,014",180382
66,51,64,51,Capella,"Lenovo ThinkSystem SD665-N V3, AMD EPYC 9334 32C 2.7GHz, Nvidia H100 SXM5 94Gb, Infiniband NDR200, AlmaLinux 9.4","TU Dresden, ZIH",MEGWARE,Germany,2024,Academic,"85,248","76,032","24,060.00","37,665.20","2,508,800",,215.33,444.79,Submitted,54.09,,Cluster,AMD EPYC 9334 32C 2.7GHz,AMD Zen-4 (Genoa),"2,700",AlmaLinux 9.4,Linux,Nvidia H100 SXM5 94Gb,32,AMD Zen-4 (Genoa),ThinkSystem SD650 V3,Lenovo ThinkSystem,Infiniband,Infiniband NDR200,Europe,"50,565",180298
67,52,53,5,Frontera,"Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR",Texas Advanced Computing Center/Univ. of Texas,DELL,United States,2019,Academic,"448,448",,"23,516.40","38,745.91","9,262,848",,,,,,,Cluster,Xeon Platinum 8280 28C 2.7GHz,Intel Cascade lake,"2,700",CentOS Linux 7,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,Mellanox InfiniBand HDR,North America,"48,958",179607
68,53,63,34,Yep1,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR400",Ahrefs US DC,Nvidia,United States,2023,Others,"73,584","66,528","23,320.00","34,579.64","2,161,920",,,,,,,Cluster,Xeon Platinum 8480C 56C 3.8GHz,Intel Sapphire Rapids,"3,800",Ubuntu 22.04.3 LTS,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,North America,"50,997",180265
69,54,63,35,BioHive-2,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, Infiniband NDR400",Recursion,Nvidia,United States,2024,Industry,"40,320","33,264","23,320.00","34,219.58","2,150,400",,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,North America,"50,874",180263
70,55,58,14,CEA-HF,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",Commissariat a l'Energie Atomique (CEA),EVIDEN,France,2021,Research,"810,240",,"23,237.60","31,761.40","12,153,600",,340.84,"4,959.47",Submitted,4.69,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Zen-3 (Milan),BullSequana XH2000,BullSequana,Custom Interconnect,Atos BXI V2,Europe,"47,593",180031
71,56,56,10,Dammam-7,"Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100",Saudi Aramco,HPE,Saudi Arabia,2020,Industry,"672,520","632,960","22,400.00","55,423.56","5,696,640",,881.40,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),Cray CS-Storm,Cray CS-Storm,Infiniband,InfiniBand HDR100,Asia,"48,751",179885
72,57,63,38,TAIPEI-1,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",NVIDIA Corporation,Nvidia,Taiwan,2024,Industry,"40,960","33,792","22,300.00","34,533.38","2,170,880",,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,NVIDIA Infiniband NDR,Asia,"51,018",180264
73,58,57,13,Wisteria/BDEC-01 (Odyssey),"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2021,Academic,"368,640",,"22,121.00","25,952.26","4,853,760",,817.58,"1,468.00",Submitted,15.07,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,096",179962
74,59,62,34,DeepL Mercury,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",DeepL SE Super POD Cluster Mercury,Nvidia,Sweden,2023,Industry,"40,960","33,792","21,850.00","33,849.34","2,113,536",,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,NVIDIA Infiniband NDR,Europe,"50,974",180224
75,60,58,19,Chervonenkis,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",Yandex,"YANDEX, NVIDIA",Russia,2021,Industry,"193,440","168,480","21,530.00","29,415.17","3,926,016",,,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),"2,000",Ubuntu 16.04,Linux,NVIDIA Tesla A100 80G,64,AMD Zen-2 (Rome),YANDEX Y4N-GA1-TY25-ZB0,YANDEX Cluster,Infiniband,Infiniband,Europe,"50,862",180029
76,,65,76,,"HPE Cray XD670, Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA H100 SXM5 80GB, Infiniband, Ubuntu 22.04",Bank of America,HPE,United States,2025,Industry,"71,680","67,584","21,460.00","27,876.25","19,660,880",,,,,,,Cluster,Xeon Platinum 8462Y+ 32C 2.8GHz,Intel Sapphire Rapids,"2,800",Ubuntu 22.04,Linux,NVIDIA H100 SXM5 80GB,32,Xeon Platinum (Sapphire Rapids),HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband,North America,"51,078",180373
77,61,40,114,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2017,Research,"387,872","319,424","21,230.00","27,154.30","3,743,232",,496.98,"2,384.24",Submitted,8.90,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,"2,600",Cray Linux Environment,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect,Europe,"50,422",177824
78,,65,78,Fir (GPU),"ThinkSystem SD665-N V3, AMD EPYC 9454 48C 2.75GHz, NVIDIA H100, Infiniband, AlmaLinux 9",Simon Fraser University/Digital Research Alliance of Canada,Lenovo,Canada,2025,Research,"92,160","84,480","19,960.00","33,315.84","2,485,248",,,475.73,Submitted,41.96,,Cluster,AMD EPYC 9454 48C 2.75GHz,AMD Zen-4 (Genoa),"2,750",AlmaLinux 9,Linux,NVIDIA H100 80GB,48,AMD Zen-4 (Genoa),ThinkSystem SD665-N V3,Lenovo ThinkSystem,Infiniband,Infiniband,North America,"51,084",180353
79,62,58,22,ARCHER2,"Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",EPSRC/University of Edinburgh,HPE,United Kingdom,2021,Research,"716,800",,"19,539.00","25,804.00","5,816,959",,350.21,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",HPE Cray OS,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Europe,"50,487",180036
80,63,59,85,Titan,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR, RHEL 8.6",SK Telecom,HPE,South Korea,2024,Industry,"153,760","133,920","19,530.00","24,947.81","3,429,888",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",RHEL 8.6,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-3 (Milan),Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR,Asia,"50,920",180084
81,64,52,8,SuperMUC-NG,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Leibniz Rechenzentrum,Lenovo,Germany,2018,Academic,"305,856",,"19,476.60","26,873.86","8,402,688",,207.84,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,"3,100",SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum (Skylake),ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"48,248",179566
82,65,62,40,Dawn,"Dell PowerEdge XE9640, Xeon Platinum 8468 48C 2.1GHz, Intel Data Center GPU Max 1550, Infiniband HDR200",University of Cambridge,DELL,United Kingdom,2023,Academic,"156,864","132,096","19,458.30","53,852.24","3,932,928","1,966,464",,,,,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,"2,100",Rocky Linux 8.8,Linux,Intel Data Center GPU Max 1550,48,Xeon Platinum (Sapphire Rapids),PowerEdge XE9640,Dell PowerEdge Cluster,Infiniband,Infiniband HDR200,Europe,"49,143",180202
83,67,57,19,Ghawar-1,"HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10",Saudi Aramco,HPE,Saudi Arabia,2021,Industry,"714,240",,"19,256.00","22,855.68","9,791,600",,381.72,,,,,MPP,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),"2,000",SLES15 SP2,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Asia,"48,751",179929
84,68,59,29,Frontier TDS,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",DOE/SC/Oak Ridge National Laboratory,HPE,United States,2021,Research,"120,832","112,640","19,200.00","23,105.54","2,875,392",,,308.68,Submitted,62.20,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,553",180053
85,69,63,55,Helios GPU,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",Cyfronet,HPE,Poland,2023,Academic,"89,760","58,080","19,140.00","30,443.56","3,059,712",,262.00,316.88,Submitted,60.40,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,"3,100",Linux,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"47,634",180244
86,70,60,33,Pégaso,"Supermicro A+ Server 4124GO-NART+, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100, Infiniband HDR",Petróleo Brasileiro S.A,EVIDEN,Brazil,2022,Industry,"233,856","217,728","19,070.00","41,995.70","4,428,288",,,"1,033.00",Submitted,18.46,,Cluster,AMD EPYC 7513 32C 2.6GHz,AMD Zen-3 (Milan),"2,600",CentOS,Linux,NVIDIA A100,32,AMD Zen-3 (Milan),Supermicro A+ Server 4124GO-NART+,Supermicro Cluster,Infiniband,Infiniband HDR,South America,"49,587",180127
87,71,64,71,Kestrel GPU,"HPE Cray XD665, AMD EPYC 9554 64C 3.1GHz, NVIDIA H100 80GB, Slingshot-11, RHEL 6.8",National Renewable Energy Laboratory,HPE,United States,2024,Research,"83,968","67,584","18,400.00","34,354.79","2,228,224","1,566,720",,,,,,Cluster,AMD EPYC 9554 64C 3.1GHz,AMD Zen-4 (Genoa),"3,100",RHEL 6.8,Linux,NVIDIA H100 80GB,64,AMD Zen-4 (Genoa),HPE Cray XD665,HPE Cray XD,Gigabit Ethernet,Slingshot-11,North America,"48,481",180345
88,72,52,11,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,"288,288","253,440","18,200.00","23,047.20","5,059,584",,,,,,,Cluster,IBM POWER9 22C 3.1GHz,Power,"3,100",Red Hat Enterprise Linux,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"49,763",179567
89,,65,89,DeltaAI,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11, SLES 15 SP5",NCSA,HPE,United States,2025,Academic,"124,032","80,256","18,080.00","33,605.96","2,599,936",,,372.40,Submitted,48.55,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,"3,100",SLES 15 SP5,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,420",180364
90,73,57,24,Guru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korea Meteorological Administration,Lenovo,South Korea,2021,Government,"306,432",,"18,002.80","25,495.14","8,239,104",,,"3,296.00",Submitted,5.46,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,"50,890",179912
91,74,58,28,Maru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korea Meteorological Administration,Lenovo,South Korea,2021,Government,"306,432",,"18,002.80","25,495.14","8,239,104",,,"3,296.00",Submitted,5.46,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,None,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,"50,890",180023
92,75,53,11,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",Total Exploration Production,IBM,France,2019,Industry,"291,024","270,720","17,860.00","25,025.81","5,760,000",,,"1,367.00",Submitted,13.07,,Cluster,IBM POWER9 18C 3.45GHz,Power,"3,450",RHEL 7.6,Linux,NVIDIA Volta GV100,18,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,"49,546",179689
